mode,n,block_size,visualize,stage,samples,mean_ms,median_ms,p95_ms,stddev_ms,min_ms,max_ms
naive,100000,128,0,frame_wall,1000,32.742397,32.790100,33.393101,0.494354,31.069401,36.554001
naive,100000,128,1,frame_wall,1000,33.969688,33.884201,35.327000,0.854298,32.400002,39.928299
naive,100000,128,0,total,1000,32.553215,32.734718,33.061890,0.478642,30.901249,34.224129
naive,100000,128,0,frame_wall,1000,32.735386,32.787498,33.391201,0.521511,31.083799,36.860600
naive,100000,128,1,frame_wall,1000,33.968784,34.084351,35.274899,0.865589,32.320499,38.248100
naive,100000,128,0,total,1000,32.707718,32.746494,33.970177,0.843651,30.853121,36.950016
naive,200000,128,0,frame_wall,300,117.569069,118.808746,127.972298,6.906940,103.465500,146.678604
naive,200000,128,1,frame_wall,300,112.253746,112.486847,114.906097,2.482145,104.611900,130.022202
naive,200000,128,0,total,300,111.515633,110.979073,119.341057,3.512206,105.306114,127.222786
naive,200000,128,0,frame_wall,300,112.146622,111.480553,122.034798,4.917795,105.256599,148.560593
naive,200000,128,1,frame_wall,300,114.848396,113.282700,123.277199,4.979628,107.003304,141.442505
naive,200000,128,0,total,300,115.513374,116.317696,123.437057,5.836344,103.521187,135.335739
naive,200000,128,0,frame_wall,300,110.928291,111.223801,113.249397,2.712552,105.670799,136.407593
naive,200000,128,1,frame_wall,300,112.626312,112.366653,118.323898,3.733649,104.060204,143.428894
naive,200000,128,0,total,300,110.705345,110.591461,113.573891,2.779971,103.576576,126.045181
scattered,1000,128,0,frame_wall,5000,0.107249,0.096300,0.143300,0.054627,0.077900,0.628300
scattered,1000,128,1,frame_wall,5000,0.599018,0.524700,0.884700,0.146332,0.464600,1.875800
scattered,1000,128,0,total,5000,0.099041,0.084992,0.147424,0.057969,0.067584,0.714752
scattered,1000,128,0,frame_wall,5000,0.158672,0.133800,0.292200,0.092524,0.085300,1.045100
scattered,1000,128,1,frame_wall,5000,0.681761,0.624350,1.062800,0.179499,0.488000,2.210800
