mode,n,block_size,visualize,stage,samples,mean_ms,median_ms,p95_ms,stddev_ms,min_ms,max_ms
scattered,100000,32,0,frame_wall,1000,0.727917,0.666650,1.237600,0.186963,0.549900,1.385500
scattered,100000,32,0,frame_wall,1000,0.682102,0.654150,0.944100,0.101875,0.549800,1.167600
scattered,100000,64,0,frame_wall,1000,0.759491,0.697100,1.270900,0.194559,0.573200,1.503700
scattered,100000,64,0,frame_wall,1000,0.772990,0.710750,1.275600,0.189582,0.573500,1.494000
scattered,100000,64,0,frame_wall,1000,0.747243,0.684250,1.262200,0.190330,0.573500,1.524700
scattered,100000,128,0,frame_wall,1000,0.691571,0.671850,0.945100,0.115712,0.517100,1.082400
scattered,100000,128,0,frame_wall,1000,0.709050,0.646450,1.211900,0.183687,0.516900,1.425100
scattered,100000,128,0,frame_wall,1000,0.692483,0.628250,1.215400,0.193353,0.519000,1.413100
scattered,100000,256,0,frame_wall,1000,0.716411,0.667450,1.211900,0.165739,0.530800,1.511400
scattered,100000,256,0,frame_wall,1000,0.696114,0.665500,0.996200,0.140823,0.529700,1.236400
scattered,100000,256,0,frame_wall,1000,0.714435,0.667500,1.226600,0.191943,0.529600,1.408300
scattered,100000,512,0,frame_wall,1000,0.987854,0.922600,1.456600,0.308222,0.671200,4.155800
scattered,100000,512,0,frame_wall,1000,0.953498,0.908450,1.430600,0.178863,0.690600,1.690700
scattered,100000,512,0,frame_wall,1000,0.920190,0.902500,1.174500,0.116673,0.684700,1.389600
scattered,100000,1024,0,frame_wall,1000,0.940870,0.915450,1.352100,0.154858,0.735600,1.477900
scattered,100000,1024,0,frame_wall,1000,0.969489,0.920250,1.448400,0.194697,0.731600,1.569100
scattered,100000,1024,0,frame_wall,1000,0.969356,0.926900,1.448000,0.193574,0.727700,1.672400
coherent,5000,32,0,frame_wall,5000,0.243398,0.204300,0.502200,0.124418,0.141800,3.579600
coherent,5000,32,0,frame_wall,5000,0.241102,0.200050,0.439100,0.118696,0.145800,1.079000
coherent,5000,32,0,frame_wall,5000,0.233111,0.199100,0.431600,0.101374,0.151100,0.986800
coherent,5000,64,0,frame_wall,5000,0.226364,0.193300,0.452300,0.097582,0.147100,1.175100
coherent,5000,64,0,frame_wall,5000,0.223892,0.192050,0.442400,0.084216,0.144400,0.845200
coherent,5000,64,0,frame_wall,5000,0.208281,0.188500,0.352500,0.072031,0.143300,1.134300
coherent,5000,128,0,frame_wall,5000,0.207504,0.187500,0.303200,0.077007,0.144600,1.135700
coherent,5000,128,0,frame_wall,5000,0.214393,0.188700,0.396900,0.087921,0.145900,0.907400
coherent,5000,128,0,frame_wall,5000,0.221399,0.189800,0.420300,0.093905,0.141900,1.023100
coherent,5000,256,0,frame_wall,5000,0.215558,0.188200,0.407600,0.093727,0.144300,1.329500
coherent,5000,256,0,frame_wall,5000,0.213958,0.189600,0.411300,0.074724,0.147000,0.903300
coherent,5000,256,0,frame_wall,5000,0.208964,0.187600,0.311000,0.072955,0.142200,0.907200
coherent,5000,512,0,frame_wall,5000,0.212582,0.188500,0.322800,0.090605,0.143700,1.011300
coherent,5000,512,0,frame_wall,5000,0.218012,0.190300,0.408000,0.092582,0.145200,0.964700
coherent,5000,512,0,frame_wall,5000,0.221090,0.189300,0.456400,0.102765,0.141000,1.079900
coherent,5000,1024,0,frame_wall,5000,0.218872,0.197500,0.400900,0.073989,0.144100,0.835000
coherent,5000,1024,0,frame_wall,5000,0.210584,0.196700,0.301600,0.067006,0.136900,0.886600
coherent,5000,1024,0,frame_wall,5000,0.217026,0.196600,0.433800,0.085258,0.143300,0.914500
coherent,100000,32,0,frame_wall,1000,0.369262,0.324850,0.734300,0.139757,0.274500,1.032700
coherent,100000,32,0,frame_wall,1000,0.384143,0.345600,0.613200,0.215090,0.290200,3.771300
coherent,100000,32,0,frame_wall,1000,0.386964,0.342550,0.676800,0.135064,0.277300,1.285500
coherent,100000,64,0,frame_wall,1000,0.317955,0.277350,0.644400,0.130781,0.237400,0.993000
coherent,100000,64,0,frame_wall,1000,0.309920,0.280650,0.563300,0.097465,0.247100,0.989600
coherent,100000,64,0,frame_wall,1000,0.317072,0.271900,0.590000,0.125914,0.241500,0.989500
coherent,100000,128,0,frame_wall,1000,0.265880,0.235700,0.506100,0.086807,0.212300,0.976200
coherent,100000,128,0,frame_wall,1000,0.342225,0.253050,0.697900,0.170696,0.207200,1.044500
coherent,100000,128,0,frame_wall,1000,0.286853,0.251700,0.541500,0.098813,0.206200,0.815500
coherent,100000,256,0,frame_wall,1000,0.298884,0.252050,0.556200,0.114754,0.222100,0.967700
coherent,100000,256,0,frame_wall,1000,0.289506,0.252500,0.543400,0.109064,0.217000,0.947400
coherent,100000,256,0,frame_wall,1000,0.292609,0.252800,0.549400,0.114970,0.211600,0.963700
coherent,100000,512,0,frame_wall,1000,0.314082,0.280000,0.659400,0.119903,0.236700,0.977200
coherent,100000,512,0,frame_wall,1000,0.300646,0.271550,0.553100,0.087465,0.238200,0.864600
coherent,100000,512,0,frame_wall,1000,0.315374,0.279550,0.573100,0.105265,0.231500,0.990000
coherent,100000,1024,0,frame_wall,1000,0.297856,0.274000,0.564100,0.084246,0.240600,0.919300
coherent,100000,1024,0,frame_wall,1000,0.330117,0.288800,0.577100,0.116450,0.245300,1.066700
coherent,100000,1024,0,frame_wall,1000,0.324118,0.288350,0.577500,0.103079,0.243400,0.951900
